Name,Facility Type,AHCA Number (File Number),Phone Number,Licensed Beds,License ID,License Number,License Status,Closed Date,License Effective Date,License Expiration Date,Street Address,Street Address 2,Street City,Street Zip,Street State,Street County,Mailing Address,Mailing Address 2,Mailing City,Mailing State,Mailing Zip,Mailing County,Owner,Owner Since,Profit Status,Web Address,Admin/CEO
1 KIND HOME LLC,Assisted Living Facility,11968002,(305) 285-1012,12,313782,11973,LICENSED,,6/15/2025 12:00:00 AM,6/14/2027 12:00:00 AM,911 SW 12TH AVE # 913,,MIAMI,33130-3627,FL,Miami-Dade,911-913 SW 12TH AVE,,MIAMI,FL,33130-3627,Miami-Dade,"1 KIND HOME, LLC",12/15/2010 12:00:00 AM,For-Profit,,DANIELA URRA
81 OAKS SENIOR LIVING,Assisted Living Facility,11970223,(941) 278-8801,125,528652,13817,LICENSED,,8/4/2025 12:00:00 AM,8/3/2027 12:00:00 AM,7850 HAWKINS RD,,SARASOTA,34241-9379,FL,Sarasota,7850 HAWKINS RD,,SARASOTA,FL,34241-9379,Sarasota,81 OAKS LLC,6/12/2023 12:00:00 AM,For-Profit,81 Oaks Senior Living,MEGHAN HOULIHAN
A & C LIVING FAITH HOME LLC,Assisted Living Facility,11969912,(321) 557-7219,5,487256,13669,LICENSED,,12/6/2025 12:00:00 AM,12/5/2027 12:00:00 AM,578 FELLENZ ST SW,,PALM BAY,32908,FL,Brevard,578 FELLENZ ST SW,,PALM BAY,FL,32908,Brevard,A & C LIVING FAITH HOME LLC,7/30/2021 12:00:00 AM,For-Profit,,CARLINE JEAN LOUIS
"A & G MARVELOUS ALF, LLC",Assisted Living Facility,11970363,(954) 636-9168,6,541862,13865,IN REVIEW,,3/6/2024 12:00:00 AM,3/5/2026 12:00:00 AM,6706 INWOOD,,NORTH LAUDERDALE,33068,FL,Broward,6706 INWOOD,,NORTH LAUDERDALE,FL,33068,Broward,A&G MARVELOUS ALF LLC,3/6/2024 12:00:00 AM,For-Profit,MarvelousALF.com,ANNALISE DURAND
"A & J ALF OF FLORIDA INC, II",Assisted Living Facility,11968530,(754) 245-3745,6,350152,12391,LICENSED,,4/8/2025 12:00:00 AM,4/7/2027 12:00:00 AM,808 GILLEN AVE NW,,PALM BAY,32907,FL,Brevard,3929 GARDENWOOD CIRCLE,,GRANT,FL,32949,Brevard,"A & J ALF OF FLORIDA, INC. II",1/8/2017 12:00:00 AM,For-Profit,www.ajassisted.com,ANGELLA RUDEEN BROWN
A & L HEALTH CARE CORP NO. 2,Assisted Living Facility,11966997,(954) 345-7481,6,238910,11141,IN REVIEW,,1/23/2024 12:00:00 AM,1/22/2026 12:00:00 AM,8208 NW 14TH STREET,,CORAL SPRINGS,33071,FL,Broward,8208 NW 14TH STREET,,CORAL SPRINGS,FL,33071,Broward,A & L HEALTHCARE CORP,6/20/2007 12:00:00 AM,For-Profit,,SANDRA PATRICIA RILEY
A & M @ EBER SPRINGS,Assisted Living Facility,11969922,(321) 604-8853,6,489584,13705,LICENSED,,4/13/2024 12:00:00 AM,4/12/2026 12:00:00 AM,1050 EBER BLVD,,MELBOURNE,32904,FL,Brevard,1050 EBER BLVD,,MELBOURNE,FL,32904,Brevard,A & M ASSISTED LIVING FACILITY INC @ EBER SPRINGS,12/21/2020 12:00:00 AM,For-Profit,,MARLENE GILLIARD
A & M ASSISTED LIVING FACILITY II,Assisted Living Facility,11967516,(321) 327-7209,6,278607,11516,LICENSED,,4/8/2025 12:00:00 AM,4/7/2027 12:00:00 AM,2180 STRATFORD POINTE DR,,WEST MELBOURNE,32904-8008,FL,Brevard,2180 STRATFORD PT DR,,WEST MELBOURNE,FL,32904,Brevard,"A & M ASSISTED LVING FACILITY, INC.",12/3/2012 12:00:00 AM,For-Profit,,MARLENE GILLIARD
A BANYAN RESIDENCE AT WILDWOOD LLC,Assisted Living Facility,11969813,(352) 268-3535,100,463813,13557,LICENSED,,2/6/2025 12:00:00 AM,2/5/2027 12:00:00 AM,12427 COUNTY ROAD 101,,OXFORD,34484,FL,Sumter,3940 BAY SHORE RD,,SARASOTA,FL,34234-5209,Sarasota,A BANYAN RESIDENCE AT WILDWOOD LLC,1/27/2021 12:00:00 AM,For-Profit,http://www.abanyanresidencevillages.com,BRANDON ANDERSON
"A BELLA VITA PLACE ASSISTED LIVING, LLC",Assisted Living Facility,11968721,(561) 371-4146,10,363517,12591,LICENSED,,3/4/2025 12:00:00 AM,3/3/2027 12:00:00 AM,2143 DORSON WAY,,DELRAY BEACH,33445,FL,Palm Beach,2143 DORSON WAY,,DELRAY BEACH,FL,33445,Palm Beach,"A BELLA VITA PLACE ASSISTED LIVING, LLC",9/3/2014 12:00:00 AM,For-Profit,,NICOLE BEAUZIEUX-GERMAIN
A COMPASSIONATE CARE ASSISTED LIVING RESIDENCE LLC,Assisted Living Facility,11969280,(561) 422-8120,6,404326,13080,IN REVIEW,,1/7/2024 12:00:00 AM,1/6/2026 12:00:00 AM,2646 YARMOUTH,,WELLINGTON,33414,FL,Palm Beach,2646 YARMOUTH,,WELLINGTON,FL,33414,Palm Beach,A COMPASSIONATE CARE ASSISTED LIVING RESIDENCE LLC,8/17/2017 12:00:00 AM,For-Profit,,VALRIE BINNS
A COUNTRY PLACE ASSISTED LIVING FACILITY,Assisted Living Facility,11966113,(813) 891-0549,24,154256,10368,LICENSED,,12/28/2025 12:00:00 AM,12/27/2027 12:00:00 AM,10515 MEMORIAL HIGHWAY,,TAMPA,33615,FL,Hillsborough,10515 MEMORIAL HIGHWAY,,TAMPA,FL,33615,Hillsborough,"VILLAS OF TAMPA, LLC (THE)",8/15/2003 12:00:00 AM,For-Profit,www.TampaALF.com,ROBERT ALAN LOOMIS
"A GARDEN OF HOPE ASSISTED LIVING, INC",Assisted Living Facility,11970658,(305) 666-5654,6,562741,14016,LICENSED,,7/25/2025 12:00:00 AM,7/24/2027 12:00:00 AM,8730 SW 127 TERR,,MIAMI,33176,FL,Miami-Dade,8730 SW 127 TERR,,MIAMI,FL,33176,Miami-Dade,A GARDEN OF HOPE ASSISTED LIVING INC,2/6/2025 12:00:00 AM,For-Profit,,PAULINE BALL
A HOME AWAY FROM HOME ALF INC,Assisted Living Facility,11964920,(305) 229-1315,6,3844,9562,LICENSED,,11/30/2024 12:00:00 AM,11/29/2026 12:00:00 AM,1851 SW 142ND AVE,,MIAMI,33175-7034,FL,Miami-Dade,1851 SW 142ND AVE,,MIAMI,FL,33175-7034,Miami-Dade,"A HOME AWAY FROM HOME ALF, INC.",4/22/2005 12:00:00 AM,For-Profit,,AILEEN DELGADO
A KEE TO PARADISE LLC,Assisted Living Facility,11969804,(772) 237-4495,6,461541,13567,LICENSED,,2/26/2025 12:00:00 AM,2/25/2027 12:00:00 AM,5579 NW COMMODORE TERR,,PORT SAINT LUCIE,34983,FL,St. Lucie,5579 NW COMMODORE TERR,,PORT SAINT LUCIE,FL,34983,St. Lucie,A KEE TO PARADISE LLC,11/9/2020 12:00:00 AM,For-Profit,akeetoparadise.com,KEILA THOMAS
A LA MY LOVE ALF INC,Assisted Living Facility,11968427,(813) 505-5564,6,341827,12340,LICENSED,,6/19/2025 12:00:00 AM,6/18/2027 12:00:00 AM,6821 DOVER CT,,TAMPA,33634-4708,FL,Hillsborough,6821 DOVER CT,,TAMPA,FL,33634-4708,Hillsborough,A LA MY LOVE ALF INC,10/31/2012 12:00:00 AM,For-Profit,,MARTHA MEDINA
"A LOVELY HOME CARE BY GT, INC",Assisted Living Facility,11968570,(786) 536-6734,6,352688,12458,LICENSED,,4/5/2024 12:00:00 AM,4/4/2026 12:00:00 AM,4911 SW 132ND AVE,,MIAMI,33175-5245,FL,Miami-Dade,4911 SW 132ND AVE,,MIAMI,FL,33175-5245,Miami-Dade,"A LOVELY HOME CARE BY GT, INC",4/5/2022 12:00:00 AM,For-Profit,,DAMASO BELLO
A LOVING FAMILY ALF LLC,Assisted Living Facility,11969816,(772) 696-3070,6,464246,13564,LICENSED,,2/24/2025 12:00:00 AM,2/23/2027 12:00:00 AM,106 16TH AVE,,VERO BEACH,32962,FL,Indian River,106 16TH AVE,,VERO BEACH,FL,32962,Indian River,A LOVING FAMILY ALF LLC,12/22/2020 12:00:00 AM,For-Profit,,DAYANA MUNOZ
A LOVING HAND FACILITY CARE LLC,Assisted Living Facility,11969479,(561) 856-9806,6,423413,13280,LICENSED,,5/15/2024 12:00:00 AM,5/14/2026 12:00:00 AM,554 KILPATRICK AVE,,PORT SAINT LUCIE,34983,FL,St. Lucie,554 KILPATRICK AVE,,PORT SAINT LUCIE,FL,34983,St. Lucie,A LOVING HAND FACILITY CARE LLC,5/15/2022 12:00:00 AM,For-Profit,,FRANCIS BRUNO
"A LOVING HOME ENTERPRISES, INC.",Assisted Living Facility,11953636,(786) 447-4223,6,2746,8675,LICENSED,,7/1/2024 12:00:00 AM,6/30/2026 12:00:00 AM,3640 SW 91ST AVE # 42,,MIAMI,33165-4361,FL,Miami-Dade,3642 SW 91ST AVE,,MIAMI,FL,33165-4361,Miami-Dade,"A LOVING HOME ENTERPRISES, INC.",3/18/1997 12:00:00 AM,For-Profit,,JOSEIDA CORREDERA
A PARADISE HOME ALF II LLC,Assisted Living Facility,11969169,(954) 591-1025,6,396642,12990,LICENSED,,7/4/2025 12:00:00 AM,7/3/2027 12:00:00 AM,438 MACY ST,,WEST PALM BEACH,33405,FL,Palm Beach,438 MACY ST,,WEST PALM BEACH,FL,33405,Palm Beach,"A PARADISE HOME ALF II, LLC",2/1/2017 12:00:00 AM,For-Profit,,USHINA PEREZ
A PIEDRA ALF INC,Assisted Living Facility,11964967,(786) 803-8116,6,3891,9585,IN REVIEW,,1/23/2024 12:00:00 AM,1/22/2026 12:00:00 AM,7960 SW 36 STREET,,MIAMI,33155,FL,Miami-Dade,7960 SW 36 STREET,,MIAMI,FL,33155,Miami-Dade,A PIEDRA ALF INC,8/30/2017 12:00:00 AM,For-Profit,,CLAUDIA RIZO
"A PLACE LIKE HOME ALF, INC",Assisted Living Facility,11967480,(321) 693-3325,6,275267,11499,LICENSED,,3/17/2025 12:00:00 AM,3/16/2027 12:00:00 AM,1971 PORT MALABAR BLVD NE,,PALM BAY,32905-5436,FL,Brevard,6655 S US HIGHWAY 1,,GRANT,FL,32949-2221,Brevard,A PLACE LIKE HOME ALF INC,10/20/2008 12:00:00 AM,For-Profit,aplacelikehomealf.com,DIANE M WALKER
A PLACE OF PEACE 2 ASSISTED LIVING FACILITY,Assisted Living Facility,11970510,(386) 457-3207,6,552521,13922,LICENSED,,9/5/2024 12:00:00 AM,9/4/2026 12:00:00 AM,1640 GREGORY DR,,DELTONA,32738,FL,Volusia,1640 GREGORY DR,,DELTONA,FL,32738,,A PLACE OF PEACE 2 LLC,9/5/2024 12:00:00 AM,For-Profit,,SHANTAVIA COOPER
A PLACE TO BE LOVED LLC,Assisted Living Facility,11969141,(321) 693-0282,6,394643,12962,LICENSED,,11/1/2024 12:00:00 AM,10/31/2026 12:00:00 AM,251 FALLS CHURCH ST,,PALM BAY,32908,FL,Brevard,1531 GARDENTON ST,NW,PALM BAY,FL,32907,Brevard,A Place to Be Loved LLC,11/1/2024 12:00:00 AM,For-Profit,www.nothinglikehomecare.com,SHERON WHYNE
A QUAINT MEADOW,Assisted Living Facility,11968838,(954) 258-3370,6,370912,12681,LICENSED,,9/3/2025 12:00:00 AM,9/2/2027 12:00:00 AM,39 OHIO RD,,LAKE WORTH,33467,FL,Palm Beach,39 OHIO RD,,LAKE WORTH,FL,33467,Palm Beach,"SUPERIOR ELDER CARE, LLC",4/17/2015 12:00:00 AM,For-Profit,,ASHLEY OLIPHANT
"A SWEET ALF, INC.",Assisted Living Facility,11964442,(305) 999-7347,6,3406,9159,LICENSED,,8/30/2024 12:00:00 AM,8/29/2026 12:00:00 AM,18400 NW 81 COURT,,HIALEAH,33015,FL,Miami-Dade,18400 NW 81 COURT,,HIALEAH,FL,33015,Miami-Dade,"A SWEET ALF, INC",9/10/2014 12:00:00 AM,For-Profit,,ELIAN SOSA
A TOUCH OF CLASS #1 ADULT CARE LLC,Assisted Living Facility,11968504,(772) 323-0353,5,348490,12400,LICENSED,,11/28/2025 12:00:00 AM,11/27/2027 12:00:00 AM,658 NW AVENS ST,,PORT ST LUCIE,34983-1104,FL,St. Lucie,658 NW AVENS ST,,PORT ST LUCIE,FL,34983-1104,St. Lucie,A TOUCH OF CLASS #1 ADULT CARE LLC,5/14/2013 12:00:00 AM,For-Profit,http://atouchofclassadultcare.com/,CHRISTINE DAVIS
A TOUCH OF CLASS ADULT CARE LLC,Assisted Living Facility,11967855,(727) 905-8729,10,299645,11837,LICENSED,,9/22/2024 12:00:00 AM,9/21/2026 12:00:00 AM,537 SW WHITMORE DRIVE,,PORT SAINT LUCIE,34984,FL,St. Lucie,537 SW WHITMORE DRIVE,,PORT SAINT LUCIE,FL,34984,St. Lucie,A TOUCH OF CLASS ADULT CARE LLC,11/27/2013 12:00:00 AM,For-Profit,,CHRISTINE DAVIS
A&C GODBLESS ASSISTED LIVING LLC,Assisted Living Facility,11968637,(321) 557-7219,5,357995,12495,LICENSED,,4/22/2024 12:00:00 AM,4/21/2026 12:00:00 AM,235 GASPAR ST SW,,PALM BAY,32908,FL,Brevard,235 GASPAR ST SW,,PALM BAY,FL,32908,Brevard,A&C GODBLESS ASSISTED LIVING LLC,4/22/2014 12:00:00 AM,Not-For-Profit,,CARLINE JEAN LOUIS
"A&D TENDER LOVING CARE, LLC",Assisted Living Facility,11969492,(954) 944-0406,6,425780,13279,LICENSED,,6/2/2025 12:00:00 AM,6/1/2027 12:00:00 AM,150 NE 18TH ST,,POMPANO BEACH,33060,FL,Broward,150 NE 18TH ST,,POMPANO BEACH,FL,33060,Broward,A & D TENDER LOVING CARE LLC,1/14/2019 12:00:00 AM,For-Profit,,ALY ANGRAND
A&J ASSISTED LIVING FACILITY,Assisted Living Facility,11967643,(754) 245-3745,6,287850,11643,LICENSED,,6/1/2024 12:00:00 AM,5/31/2026 12:00:00 AM,2466 RALPH AVENUE SE,,PALM BAY,32909,FL,Brevard,2466 RALPH AVENUE SE,,PALM BAY,FL,32909,Brevard,"A & J ALF OF FLORIDA, INC. II",5/26/2010 12:00:00 AM,For-Profit,www.ajassisted.com,ANGELLA RUDEEN BROWN
A+ SENIOR HOME INC,Assisted Living Facility,11966253,(305) 264-4565,6,176162,10466,LICENSED,,5/11/2024 12:00:00 AM,5/10/2026 12:00:00 AM,41 SW 68TH AVE,,MIAMI,33144-2805,FL,Miami-Dade,41 SW 68TH AVE,,MIAMI,FL,33144-2805,Miami-Dade,A + SENIOR HOME INC,4/18/2012 12:00:00 AM,For-Profit,N/A,NATHALY SOTOMAYOR
"A-1 ASSISTED LIVING FACILITY, LLC",Assisted Living Facility,11967137,(305) 613-3625,6,250398,11228,LICENSED,,4/30/2024 12:00:00 AM,4/29/2026 12:00:00 AM,9410 SW 52 TERRACE,,MIAMI,33165,FL,Miami-Dade,9410 SW 52 TERRACE,,MIAMI,FL,33165,Miami-Dade,A-1 ASSISTED LIVING FACILITY LLC,5/30/2012 12:00:00 AM,For-Profit,,MARILYN FERNANDEZ
A.L.F. PHILLIPPE RIDGE,Assisted Living Facility,11963871,(727) 726-3632,22,2946,8761,LICENSED,,3/4/2026 12:00:00 AM,3/3/2028 12:00:00 AM,2470 CURLEW RD,,CLEARWATER,33761,FL,Pinellas,2470 CURLEW RD,,CLEARWATER,FL,33761,Pinellas,"A.L.F. PHILLIPPE RIDGE, INC.",11/18/2013 12:00:00 AM,For-Profit,,MICHELLE BLEVIN COLEMAN
A1 SENIOR LIVING,Assisted Living Facility,11969771,(954) 933-7742,6,456420,13595,LICENSED,,5/12/2025 12:00:00 AM,5/11/2027 12:00:00 AM,242 NE 42ND ST,,DEERFIELD BEACH,33064,FL,Broward,242 NE 42ND ST,,DEERFIELD BEACH,FL,33064,Broward,ASSISTED LIVING & ADULT CARE LLC,8/4/2018 12:00:00 AM,For-Profit,a1seniorliving.com,JENNIFER LUBIN
"A1A CARE CENTER, INC",Assisted Living Facility,11965862,(305) 825-4600,6,4742,10201,LICENSED,,12/11/2024 12:00:00 AM,12/10/2026 12:00:00 AM,641 WEST 33 STREET,,HIALEAH,33012,FL,Miami-Dade,641 W 33RD ST,,HIALEAH,FL,33012-5112,Miami-Dade,"A1A CARE CENTER, INC",9/12/2002 12:00:00 AM,For-Profit,,DORIS VILLARREAL
AASBURY MANOR ALF,Assisted Living Facility,11966837,(407) 522-4832,14,223691,10956,LICENSED,,10/6/2024 12:00:00 AM,10/5/2026 12:00:00 AM,5302 SATEL DR,,ORLANDO,32810,FL,Orange,5302 SATEL DR,,ORLANDO,FL,32810,Orange,"L & L Cares, Inc",10/6/2022 12:00:00 AM,For-Profit,aasburymanoralf.com,RENAA BIGGERS
ABACO HOUSE ALF,Assisted Living Facility,11967869,(561) 891-3095,6,300793,11839,LICENSED,,9/27/2024 12:00:00 AM,9/26/2026 12:00:00 AM,121 ABACO DR,,PALM SPRINGS,33461,FL,Palm Beach,121 ABACO DR,,PALM SPRINGS,FL,33461,Palm Beach,"ABACO HOUSE ALF, LLC",4/30/2010 12:00:00 AM,For-Profit,,MARIA T SANTANA
ABBEY'S CARING RESIDENCE,Assisted Living Facility,11965626,(954) 589-5904,21,4513,10006,LICENSED,,6/1/2025 12:00:00 AM,1/26/2027 12:00:00 AM,1930 LINCOLN ST,,HOLLYWOOD,33020-3510,FL,Broward,1930 LINCOLN ST,,HOLLYWOOD,FL,33020-3510,Broward,A PURPOSEFUL BUSINESS II LLC,1/27/2023 12:00:00 AM,For-Profit,www.abbeycaringresidence.com,SANDRA BENNETT
ABIDE N LOVE,Assisted Living Facility,11968889,(321) 327-2718,5,375136,12731,LICENSED,,12/31/2025 12:00:00 AM,12/30/2027 12:00:00 AM,2698 HESTER AVE SE,,PALM BAY,32909,FL,Brevard,2698 HESTER AVE SE,,PALM BAY,FL,32909,Brevard,"ZION'S II ASSISTED LIVING FACILITY, INC",8/4/2015 12:00:00 AM,For-Profit,ZIONSASSISTEDLIVING.COM,SHERON WHYNE
ABIGAIL (THE),Assisted Living Facility,11966240,(813) 258-2919,19,173716,10498,LICENSED,,8/6/2025 12:00:00 AM,8/5/2027 12:00:00 AM,320 SOUTH DELAWARE,,TAMPA,33606,FL,Hillsborough,2626 NORTH DUNDEE STREET,,TAMPA,FL,33629,Hillsborough,ABIGAIL ASSISTED LIVING INC.,5/8/2017 12:00:00 AM,For-Profit,www.sweetwatermanor.com,KAREN BARCIA RODRIGUEZ
ABOVE THE REST ASSISTED LIVING FACILITY,Assisted Living Facility,11965167,(321) 956-8141,10,4078,9646,LICENSED,,10/4/2025 12:00:00 AM,10/3/2027 12:00:00 AM,2360 MADRID AVENUE SE,,PALM BAY,32909,FL,Brevard,2360 MADRID AVENUE SE,,PALM BAY,FL,32909,Brevard,"ABOVE THE REST ASSISTED LIVING FACILITY, LLC",7/5/2005 12:00:00 AM,For-Profit,,ELIZABETH V WEISE
ABUELAS RETIREMENT HOME INC,Assisted Living Facility,11965367,(305) 227-6682,6,4264,9821,LICENSED,,10/25/2024 12:00:00 AM,10/24/2026 12:00:00 AM,4257 SW 154TH CT,,MIAMI,33185-4259,FL,Miami-Dade,4257 SW 154TH CT,,MIAMI,FL,33185-4259,Miami-Dade,ABUELAS RETIREMENT HOME INC,7/27/2018 12:00:00 AM,For-Profit,,MAGYULIS GONZALEZ GUEVARA
"ABUELITAS HOME, INC",Assisted Living Facility,11965741,(305) 387-3808,6,4626,10139,LICENSED,,5/22/2024 12:00:00 AM,5/21/2026 12:00:00 AM,15257 SW 61ST ST,,MIAMI,33193-2559,FL,Miami-Dade,15257 SW 61ST ST,,MIAMI,FL,33193-2559,Miami-Dade,ABUELITAS HOME INC.,7/13/2001 12:00:00 AM,For-Profit,,YILLIAM MORENO
ABUELO EUSEBIO ALF CORPORATION,Assisted Living Facility,11969716,(305) 648-7113,6,449355,13472,LICENSED,,5/26/2024 12:00:00 AM,5/25/2026 12:00:00 AM,28361 SW 158 AVE,,HOMESTEAD,33033,FL,Miami-Dade,28361 SW 158 AVE,,HOMESTEAD,FL,33033,Miami-Dade,ABUELO EUSEBIO ALF CORPORATION,3/31/2020 12:00:00 AM,For-Profit,,REGLA BETANCOURT
ABUELO FELIZ HOME 2 LLC,Assisted Living Facility,11969673,(813) 495-3660,5,445033,13429,LICENSED,,6/8/2024 12:00:00 AM,6/7/2026 12:00:00 AM,4535 W JEAN ST,,TAMPA,33614,FL,Hillsborough,4535 W JEAN ST,,TAMPA,FL,33614,Hillsborough,ABUELO FELIZ HOME 2 LLC,3/10/2020 12:00:00 AM,For-Profit,,OLGA MOLANO
ABUELO FELIZ HOME LLC,Assisted Living Facility,11969120,(813) 495-3660,6,393040,12964,LICENSED,,5/9/2025 12:00:00 AM,5/8/2027 12:00:00 AM,8625 MAY CIR,,TAMPA,33614,FL,Hillsborough,8625 MAY CIR,,TAMPA,FL,33614,Hillsborough,ABUELO FELIZ HOME LLC,10/26/2016 12:00:00 AM,For-Profit,,OLGA MOLANO
ABUELO'S ANA ALF INC,Assisted Living Facility,11966960,(813) 748-1304,6,235760,11078,LICENSED,,10/30/2025 12:00:00 AM,10/29/2027 12:00:00 AM,2741 W LEROY ST,,TAMPA,33607-1249,FL,Hillsborough,2741 W LEROY ST,,TAMPA,FL,33607-1249,Hillsborough,ABUELO'S ANA ALF INC,5/7/2007 12:00:00 AM,For-Profit,,MARYLEYDIS LOPEZ ALVAREZ FL
ABUELOS ALF INC,Assisted Living Facility,11969229,(305) 456-7330,6,401223,13058,IN REVIEW,,12/4/2023 12:00:00 AM,12/3/2025 12:00:00 AM,1031 NW 39 CT,,MIAMI,33126,FL,Miami-Dade,1031 NW 39 CT,,MIAMI,FL,33126,Miami-Dade,"ABUELOS ALF, INC",7/18/2017 12:00:00 AM,For-Profit,None,ADA PORTILLO
ABUNDANT CARE RESIDENCE,Assisted Living Facility,11970222,(561) 355-0080,6,528537,13819,LICENSED,,8/9/2025 12:00:00 AM,8/8/2027 12:00:00 AM,1444 COLD SPRINGS CT,,WELLINGTON,33414,FL,Palm Beach,1444 COLD SPRINGS CT,,WELLINGTON,FL,33414,Palm Beach,"ABUNDANT CARE RESIDENCE, LLC",6/30/2023 12:00:00 AM,Not-For-Profit,,MAXENE WALKER
ABUNDANT LOVE AND CARE ASSISTED LIVING FACILITY 2 INC.,Assisted Living Facility,11970236,(863) 307-2421,23,529358,13842,LICENSED,,11/20/2025 12:00:00 AM,11/19/2027 12:00:00 AM,825 PLUM ST,,LAKELAND,33801,FL,Polk,825 PLUM ST,,LAKELAND,FL,33801,Polk,ABUNDANT LOVE & CARE ASSISTED LIVING FACILITY INC.,11/20/2023 12:00:00 AM,For-Profit,abundantlowvealf.com,GLADIS VACCIANNA
ACACIA GROVE ASSISTED LIVING FACILITY LLC,Assisted Living Facility,11968863,(904) 327-5584,8,373102,12749,LICENSED,,3/6/2026 12:00:00 AM,1/25/2028 12:00:00 AM,2485 RIDGECREST AVE,,ORANGE PARK,32065,FL,Clay,2485 RIDGECREST AVE,,ORANGE PARK,FL,32065,Clay,ACACIA GROVE ASSISTED LIVING FACILITY LLC,6/11/2015 12:00:00 AM,For-Profit,www.acaciagrovealf.com,DOROTHY ARIAS
ACADEMY ADULT ASSISTED LIVING INC,Assisted Living Facility,11970854,(772) 530-5922,6,575067,14066,LICENSED,,1/16/2026 12:00:00 AM,1/13/2028 12:00:00 AM,1958 SW DORADO LN,,PORT SAINT LUCIE,34953,FL,St. Lucie,1958 SW DORADO LN,,PORT SAINT LUCIE,FL,34953,St. Lucie,ACADEMY ADULT ASSISTED LIVING INC.,8/1/2025 12:00:00 AM,For-Profit,,MARIE SULLY
"ACADEMY ASSISTED LIVING FACILITY, INC",Assisted Living Facility,11932652,(772) 460-1211,20,2039,7824,LICENSED,,10/27/2024 12:00:00 AM,10/26/2026 12:00:00 AM,1225 SOLTMAN AVENUE,,FORT PIERCE,34950,FL,St. Lucie,1225 SOLTMAN AVENUE,,FORT PIERCE,FL,34950,St. Lucie,ACADEMY ASSISTED LIVING FACILITY INC,7/29/2004 12:00:00 AM,For-Profit,,MARIE SULLY
