X,Y,OBJECTID,Number,Legal_Name,Business_Name,Capacity_Per_PEU,Address,Address_2,City,County,Zip_Code,Phone_Number,Latitude,Longitude,CountyName
-118.188204969,34.622858304,1,1477270999,1ST CARING TRADITIONS,1ST CARING TRADITIONS,6,3234 TOURNAMENT DRIVE,,PALMDALE,Los Angeles,93551,661-441-0023,34.622858303889,-118.188204969367,Los Angeles County
-118.302308655,33.8302758070001,2,1316171846,HFL HARBOR GATEWAY HOMES           ,218TH STREET HOUSE                 ,6,1418 WEST 218TH STREET,,TORRANCE            ,Los Angeles,90501,3103377417,33.830275807451,-118.302308655485,Los Angeles County
-118.182925628,34.660376834,3,1265946065,"3FACES RANCH, LLC                  ","3FACES RANCH, LLC                  ",6,2851 WEST AVENUE L,313,LANCASTER           ,Los Angeles,93536,6614800912,34.66037683406,-118.182925627652,Los Angeles County
-121.201763945,38.6950526570001,4,1952099863,"7121 MAIN, LLC","7121 MAIN, LLC",6,7121 MAIN AVENUE,,ORANGEVALE,SACRAMENTO,95662,707-430-1608,38.695052656669,-121.20176394526,Sacramento County
-118.302874937,33.824555242,5,1952535486,HFL HARBOR GATEWAY HOMES           ,223RD STREET HOUSE                 ,6,1435 WEST 223RD STREET,,TORRANCE            ,Los Angeles,90501,3103377417,33.824555242353,-118.302874936863,Los Angeles County
-117.574922907,33.86942642,6,1528671633,ELIAA LLC                          ,A & J RESIDENTIAL CARE             ,6,1229 KELLEY AVENUE,,CORONA              ,Riverside,92882,9513399834,33.869426419898,-117.574922906968,Riverside County
-122.468484008,37.691602808,7,1689257974,PACALDO LLC,A & J ASSISTED LIVING FACILITY,53,130 VALE ST,,DALY CITY,San Mateo,94014,6507550411,37.69160280828,-122.468484007972,San Mateo County
-118.572825528,34.2588718120001,8,1053999003,LONGEVITY BOARD AND CARE LLC,A CARING TOUCH BOARD & CARE,6,10348 LARAMIE STREET,,CHATSWORTH,LOS ANGELES,91311,510-384-3431,34.258871811563,-118.572825528017,Los Angeles County
-118.462707856,34.013603453,9,1255063558,A CARING TOUCH BOARD AND CARE II LLC,A CARING TOUCH BOARD AND CARE II,6,2108 OAK STREET,,SANTA MONICA,Los Angeles,90405,818-477-2990,34.013603452599,-118.462707855954,Los Angeles County
-117.479105516,34.1290175240001,10,1841884863,A AND E LOVING SENIOR HOME INC,A AND E LOVING SENIOR HOME,6,14931 OAKSPRING DR,,FONTANA,San Bernardino,92336,8054043934,34.12901752355,-117.479105516094,San Bernardino County
-118.462605932,34.013662964,11,1720710023,A CARING TOUCH BOARD AND CARE III LLC,A CARING TOUCH BOARD AND CARE III,6,2110 OAK STREET,,SANTA MONICA,Los Angeles,90405,818-477-2990,34.013662964112,-118.462605932012,Los Angeles County
-117.665458693,33.605229335,12,1528419207,"A FAITHFUL HOME, LLC",A FAITHFUL HOME,6,26642 SALAMANCA DR,,MISSION VIEJO,ORANGE,92691,949-382-2818,33.605229334722,-117.665458693013,Orange County
-121.386357174,38.4128636070001,13,1083979116,A COZY RETIREMENT HOME             ,A COZY RETIREMENT HOME I           ,6,8616 BANFF VISTA DR,,ELK GROVE           ,Sacramento,95624,9165023008,38.412863606779,-121.386357173969,Sacramento County
-121.386706196,38.413025964,14,1083979116,A COZY RETIREMENT HOME             ,A COZY RETIREMENT HOME II          ,6,8609 BANFF VISTA DR,,ELK GROVE           ,Sacramento,95624,9165023008,38.413025964244,-121.386706196417,Sacramento County
-117.365213138,34.0011994930001,15,1528731619,TUPOU FAMILY INC,A GOOD SAMARITAN,6,3839 STRONG STREET,,RIVERSIDE,Riverside,92501,9517425188,34.001199493185,-117.365213137756,Riverside County
-117.819400475,34.0159450210001,16,1114639275,A BELOVED HOME OF DIAMOND BAR LLC,A BELOVED HOME OF DIAMOND BAR,6,454 S ROCK RIVER RD,,DIAMOND BAR,Los Angeles,91765,626-899-6999,34.01594502107,-117.819400475276,Los Angeles County
-118.191000586,34.6982673950001,17,1275245649,"A HOME FOR MOM & DAD, INC.",A HOME FOR MOM & DAD,6,44856 33RD STREET WEST,,LANCASTER,LOS ANGELES,93536,661-418-0016,34.698267395002,-118.191000585533,Los Angeles County
-117.851415993,33.889798258,18,1427636653     ,A MOTHER THERESA CARE              ,A MOTHER THERESA CARE              ,0,16192 CAIRO CIRCLE,,PLACENTIA           ,Orange,92870,9493948708,33.88979825838,-117.851415992645,Orange County
-116.980537342,33.770440292,19,1932826831,A PLACE OF LOVE SENIOR LIVING LLC,A PLACE OF LOVE,6,1360 N PALM AVE,,HEMET,RIVERSIDE,92543,310-592-5338,33.770440292438,-116.980537342364,Riverside County
-118.483730507,34.2511198920001,20,1013609585,A PARADISE VILLA INC,A PARADISE VILLA,6,9925 COLLETT AVE,,NORTH HILLS,LOS ANGELES,91343,818-919-5595,34.25111989223,-118.483730507309,Los Angeles County
-117.91209896,34.085008928,21,1730845629,MDC FACILITY INC,A FAITHFUL HOME OF COVINA,6,1084 W GROVECENTER ST,,COVINA,Los Angeles,91722,6262449999,34.08500892766,-117.912098959979,Los Angeles County
-117.933390503,34.0912217200001,22,1477295954,MDC HOME CARE INC,A PEACEFUL HOME OF COVINA,6,16025 E BRIDGER ST,,COVINA,Los Angeles,91722,6262449999,34.091221720023,-117.933390502787,Los Angeles County
-118.110919715,34.6968248690001,23,1326579483,A.N.A RESIDENTIAL CARE LLC         ,A.N.A RESIDENTIAL CARE LLC         ,6,1046 E LANCASTER BLVD,,LANCASTER           ,Los Angeles,93535,6619490151,34.696824869465,-118.110919714957,Los Angeles County
-118.373740408,34.188854002,24,1497453328,"A-1 BOARDING CARE, INC.",A-1 BOARDING CARE,6,6511 BONNER AVENUE,,NORTH HOLLYWOOD,LOS ANGELES,91606,818-691-3146,34.188854002482,-118.373740407812,Los Angeles County
-118.616851642,34.1787238860001,25,1093310369     ,AAA JERUSALEM STAR INC             ,AAA JERUSALEM STAR INC             ,0,5945 CAPISTRANO AVENUE,,WOODLAND HILLS      ,Los Angeles,91367,8188881706,34.178723885761,-118.616851642084,Los Angeles County
-119.011902222,35.315236112,26,1639602154,TRU VISION LLC                     ,AAA RESIDENTIAL ELDERLY            ,6,4313 MONITOR STREET,,BAKERSFIELD         ,Kern,93307,6612136798,35.315236111784,-119.01190222195,Kern County
-118.549766745,34.3758236260001,27,1154193035,A SWEET HOME CARE,A SWEET HOME CARE,6,25141 HIGHSPRING AVE,,NEWHALL,LOS ANGELES,91321,661-476-5375,34.37582362647,-118.549766744743,Los Angeles County
-119.014107752,35.317573866,28,1639602154,TRU VISION LLC,AAA RESIDENTIAL ELDERLY RETREAT #2,6,1013 WHITE LANE,,BAKERSFIELD,KERN,93307,661-213-6798,35.317573866489,-119.014107752132,Kern County
-119.008405124,35.3107789090001,29,1639602154,TRU VISION LLC,AAA RSDNTL ELDRL RETREAT 3,6,4825 KENNY STREET,,BAKERSFIELD,KERN,93307,661-213-6798,35.310778909042,-119.008405124307,Kern County
-118.440782641,34.298060268,30,1508114505,ABBEY ROAD VILLA LLC,ABBEY ROAD VILLA LLC,78,14132 HUBBARD STREET,,SYLMAR,Los Angeles,91342,8188370077,34.298060268302,-118.440782641266,Los Angeles County
-117.838176106,33.884989058,31,1578955084,ABOVE ALL CARE FACILITY LLC        ,ABOVE ALL CARE II                  ,6,1255 BERING ST,,PLACENTIA           ,Orange,92870,3109949181,33.884989057614,-117.838176106027,Orange County
-118.439981164,34.2133610110001,32,1265153902,AAA QUALITY RESIDENTIAL CORP,AAA QUALITY RESIDENTIAL CARE FACILITY,6,7843 STANSBURY AVE,,PANORAMA CITY,Los Angeles,91402,818-433-4785,34.213361010986,-118.439981163684,Los Angeles County
-117.951753409,33.733809573,33,1326730920,ABK SWEET HOMECARE INC,ABK SWEET HOMECARE INC,6,10171 NORTHAMPTON AVE,,WESTMINSTER,ORANGE,92683,714-837-9198,33.733809573452,-117.951753408626,Orange County
-117.864531995,33.8811138940001,34,1578955084,ABOVE ALL CARE FACILITY LLC        ,ABOVE ALL CARE III                 ,6,1022 OXFORD DR,,PLACENTIA           ,Orange,92870,3109949181,33.881113894228,-117.864531994734,Orange County
-117.482489207,34.078891018,35,1770188013,AB'S HUMBLE HOME LLC               ,AB'S HUMBLE HOME #2                ,6,14798 CAMBRIA ST,,FONTANA             ,San Bernardino,92335,9093654265,34.078891018442,-117.482489206587,San Bernardino County
-117.818888676,33.7808929030001,36,1578955084,ABOVE ALL CARE FACILITY LLC        ,ABOVE ALL CARE I                   ,6,479 S WELLINGTON,,ORANGE              ,Orange,92869,3109949181,33.780892902883,-117.818888676268,Orange County
-117.278748274,34.1283846060001,37,1952738445,MERE ENTERPRISES INC               ,ABRIA DEL CIELO                    ,240,1589 N WATERMAN AVE,,SAN BERNARDINO      ,San Bernardino,92404,9098844757,34.128384606041,-117.278748274445,San Bernardino County
-116.905112787,33.7465966280001,38,1841919248,GRACE AND LOVE RESIDENTIAL CARE HOME LLC,ABUNDANT GRACE SENIOR LIVING,6,43307 PUTTERS LANE,,HEMET,Riverside,92544,951-364-3754,33.746596627751,-116.90511278664,Riverside County
-117.960823131,33.822327584,39,1699555334,"ABUNDANT GRACE CARE VILLA, INC",ABUNDANT GRACE CARE VILLA,6,9672 COLONY STREET,,ANAHEIM,ORANGE,92804,562-774-6297,33.822327583946,-117.960823130776,Orange County
-117.249844203,34.058968785,40,1104583228,ABSOLUTE QUALITY CARE HOME INC,ABSOLUTE QUALITY CARE HOME,6,10731 COLOMA STREET,,LOMA LINDA,San Bernardino,92354,9092531571,34.058968785246,-117.249844203354,San Bernardino County
-117.939243837,33.847078003,41,1699489815,ACACIA GUEST HOME LLC,ACACIA GUEST HOME-ANAHEIM,6,1516 W LA PALMA AVE,,ANAHEIM,ORANGE,92801,626-541-5921,33.847078002918,-117.939243837231,Orange County
-117.899087732,33.8741213330001,42,1447625090,KAIROS MANAGEMENT ONE LLC          ,ACACIA VILLAS                      ,99,1620 E CHAPMAN AVE,,FULLERTON           ,Orange,92831,7148790920,33.874121333414,-117.899087731679,Orange County
-117.66346313,33.6202664690001,43,1861254989,"ACTIVE SENIOR HOME CARE, INC",ACTIVE SENIOR HOME CARE,6,26771 VIA VICTORIA,,MISSION VIEJO,ORANGE,92691,949-380-1143,33.620266469019,-117.663463129505,Orange County
-117.823450359,33.988838491,44,1437801081,ACACIA GUEST HOME LLC,ACACIA GUEST HOME,6,1847 ACACIA HILL ROAD,,DIAMOND BAR,Los Angeles,91765,6265415921,33.988838491025,-117.823450359434,Los Angeles County
-117.57067236,33.9759580200001,45,1891395547,ACCURO HOMES,ACCURO HOMES II,6,13172 EARLY CRIMSON ST,,EASTVALE,RIVERSIDE,92880,951-817-4598,33.975958020415,-117.570672360049,Riverside County
-118.312164648,34.0858334660001,46,1801220165,ADL BEST CARE LLC                  ,ADL BEST CARE LLC - 2              ,5,5431 MONROE ST,,HOLLYWOOD           ,Los Angeles,90038,8182884594,34.085833466022,-118.312164648284,Los Angeles County
-117.61165752,33.8645950490001,47,1366140907,ADOBE RESIDENTIAL CARE,ADOBE RESIDENTIAL CARE,6,2108 ADOBE AVE,,CORONA,RIVERSIDE,92882,714-371-8333,33.864595048998,-117.611657519644,Riverside County
-117.571846162,33.9655473190001,48,1184391070,ACCURO HOMES,ACCURO HOMES,6,6764 BLACK FOREST DRIVE,,EASTVALE,RIVERSIDE,92880,951-415-0647,33.965547319486,-117.57184616177,Riverside County
