"File Number","Facility","City","County","Bed Size","Number of Substantiated Complaints","Sanctions/Final Orders","Fine Amount","Total Deficiencies","Class 1","Class 2","Class 3","Class 4","Unclassified","Number of Activities","Activities","Number of Nurse Availability","Nurse Availability","Number of Special Programs and Services","Special Programs and Services"
"11910002","AGUILA ADULT CARE CENTER","TAMPA","Hillsborough","10","0","1","$400.00","2","0","0","2","0","0","1","None","6","Arts and Crafts|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping","NR","NR"
"11910003","BETHEDSA OAKS ALF, LLC","PLANT CITY","Hillsborough","16","1","0","$0.00","2","0","0","2","0","0","2","Direct Part-Time|3rd Party Part-Time","3","Arts and Crafts|Games/Cards|Social Events/Outings","NR","NR"
"11910005","BROOKDALE BAYSHORE","TAMPA","Hillsborough","190","3","6","$8,000.00","14","0","0","12","0","2","1","Direct Part-Time","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","3","Occupational Therapy|Physical Therapy|Speech Therapy"
"11910011","VILLA AT CARPENTERS (THE)","LAKELAND","Polk","52","1","0","$0.00","8","0","0","8","0","0","1","Direct 24hr","11","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Yoga","4","Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy"
"11910033","CONCORDIA VILLAGE OF TAMPA","TAMPA","Hillsborough","175","4","3","$7,000.00","13","0","0","12","0","1","2","Direct 24hr|Direct Part-Time","9","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","8","Audiology|Massage Therapy/Spa|Memory Care|Occupational Therapy|Pet Therapy|Physical Therapy|Speech Therapy|Water Therapy"
"11910038","RENAISSANCE OF NORTH TAMPA","TAMPA","Hillsborough","135","10","1","$0.00","16","0","0","14","0","2","1","Direct 24hr","10","Arts and Crafts|Cooking Classes|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies","1","Memory Care"
"11910043","THE PAVILION OF EAST TAMPA","TAMPA","Hillsborough","135","13","6","$11,500.00","28","0","3","22","0","3","1","3rd Party 24hr","8","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Social Events/Outings|Theater and Movies","4","Memory Care|Occupational Therapy|Physical Therapy|Speech Therapy"
"11910048","BROOKDALE PALMA SOLA","BRADENTON","Manatee","160","3","0","$0.00","0","0","0","0","0","0","2","Direct 24hr|Direct Part-Time","10","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Gardening|Music Programs|Shopping|Social Events/Outings|Theater and Movies|Other","1","Occupational Therapy"
"11910052","LAKE HOWARD HEIGHTS","WINTER HAVEN","Polk","65","1","0","$0.00","0","0","0","0","0","0","1","Direct 24hr","7","Arts and Crafts|Cooking Classes|Exercise Classes|Games/Cards|Music Programs|Shopping|Social Events/Outings","NR","NR"
"11910053","GRACE MANOR AT LAKE MORTON, LLC","LAKELAND","Polk","50","4","0","$0.00","1","0","0","1","0","0","2","Direct Part-Time|3rd Party Part-Time","7","Arts and Crafts|Dancing|Exercise Classes|Games/Cards|Music Programs|Social Events/Outings|Theater and Movies","1","Memory Care"
