"File Number","Facility","Type","Street Address","City","Zip","Phone Number","Licensed Beds"
"11910002","AGUILA ADULT CARE CENTER","Assisted Living Facility","503 N MATANZAS","TAMPA","33609","(813) 872-8000","10"
"11910003","BETHEDSA OAKS ALF, LLC","Assisted Living Facility","2801 N FORBES RD","PLANT CITY","33565-5636","(224) 250-0471","16"
"11910005","BROOKDALE BAYSHORE","Assisted Living Facility","4902 BAYSHORE BLVD","TAMPA","33611-3870","(813) 835-4475","190"
"11910011","VILLA AT CARPENTERS (THE)","Assisted Living Facility","1001 CARPENTERS WAY","LAKELAND","33809-3956","(863) 858-3847","52"
"11910033","CONCORDIA VILLAGE OF TAMPA","Assisted Living Facility","4100 E FLETCHER AVE","TAMPA","33613-4863","(813) 632-2419","175"
"11910038","RENAISSANCE OF NORTH TAMPA","Assisted Living Facility","16001 LAKESHORE VILLA DRIVE","TAMPA","33613","(813) 386-1145","135"
"11910043","THE PAVILION OF EAST TAMPA","Assisted Living Facility","2425 E HANNA AVENUE","TAMPA","33610","(813) 238-3053","135"
"11910048","BROOKDALE PALMA SOLA","Assisted Living Facility","450 67TH ST W","BRADENTON","34209-2380","(941) 794-5657","160"
"11910052","LAKE HOWARD HEIGHTS","Assisted Living Facility","650 N LAKE HOWARD DR","WINTER HAVEN","33881-3162","(863) 293-3171","65"
"11910053","GRACE MANOR AT LAKE MORTON, LLC","Assisted Living Facility","610 E LIME ST","LAKELAND","33801-5444","(863) 937-9114","50"
"11910054","SUN TOWERS RETIREMENT COMMUNITY","Assisted Living Facility","101 TRINITY LAKES DRIVE","SUN CITY CENTER","33573","(813) 634-3347","286"
"11910068","NEW HORIZON SHARE HOME","Assisted Living Facility","2100 STATE RD 540 WEST","WINTER HAVEN","33880-1768","(863) 299-3651","60"
"11910071","OAKLAND MANOR","Assisted Living Facility","2812 N NEBRASKA AVE","TAMPA","33602-1728","(813) 225-1347","32"
"11910074","RUBY'S RESIDENTIAL CARE INC","Assisted Living Facility","5906 NORTH 32ND STREET","TAMPA","33610","(813) 237-1330","10"
"11910082","BETHESDA FOUNTAIN ALF, LLC","Assisted Living Facility","1307 E BAKER ST","PLANT CITY","33563-5801","(224) 250-0471","42"
"11910085","THE PALMS AT SEBRING ASSISTED LIVING","Assisted Living Facility","725 S PINE ST","SEBRING","33870-3654","(863) 385-0161","141"
"11910091","SUNBURST COMMUNITY CARE-LAKELAND HILLS LLC","Assisted Living Facility","2111 LAKELAND HILLS BLVD","LAKELAND","33805-2905","(863) 688-1126","95"
"11910092","ANGELS SENIOR LIVING AT NORTH TAMPA","Assisted Living Facility","14527 NORTH FLORIDA AVENUE","TAMPA","33613","(813) 961-3072","98"
"11910096","SUMMERFIELD RETIREMENT","Assisted Living Facility","3409 26TH ST W","BRADENTON","34205-3600","(941) 751-7200","142"
"11910101","LAKELAND MANOR ALF","Assisted Living Facility","747 BON AIR ST","LAKELAND","33805-4631","(863) 583-4889","60"
"11910104","WEDGEWOOD OF WINTER HAVEN INC","Assisted Living Facility","480 AVENUE E, SOUTHEAST","WINTER HAVEN","33880","(863) 299-4663","18"
"11910105","PRESBYTERIAN RETIREMENT COMMUNITIES INC D.B.A. WESTMINSTER BRADENTON","Assisted Living Facility","1533 4TH AVENUE WEST","BRADENTON","34205","(941) 747-1881","117"
"11910106","PRESBYTERIAN RETIREMENT COMMUNITIES, INC D.B.A. WESTMINSTER BRADENTON","Assisted Living Facility","1700 21ST AVENUE, WEST","BRADENTON","34205","(941) 748-4161","79"
"11910115","CASCADE HEIGHTS","Assisted Living Facility","160 ISLANDER COURT","LONGWOOD","32750","(407) 767-6600","75"
"11910117","HARMONY RETIREMENT LIVING, INC","Assisted Living Facility","1411 EL PASO AVENUE","ORLANDO","32806","(407) 230-5632","16"
